Female,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
.18 years and over,"128,488",477,767,"1,583","1,831","1,727","2,015","5,014","35,094","24,079","5,511","8,102","27,027","11,987","1,401","1,872"
..18 to 24 years,"14,519",57,31,35,63,82,199,"1,733","3,733","5,619",338,593,"1,871",156,8,1
.25 years and over,"113,969",420,736,"1,548","1,768","1,646","1,816","3,281","31,360","18,461","5,173","7,508","25,155","11,831","1,393","1,872"
..25 to 29 years,"11,486",22,10,40,92,108,139,279,"2,633","2,245",446,780,"3,457",979,104,151
..30 to 34 years,"10,878",14,40,80,131,119,117,242,"2,297","1,661",559,763,"3,080","1,362",170,243
..35 to 39 years,"10,701",24,51,150,121,184,120,301,"2,200","1,700",516,737,"2,778","1,400",171,248
..40 to 44 years,"9,887",25,59,147,115,163,112,230,"2,247","1,402",468,656,"2,541","1,365",150,207
..45 to 49 years,"10,515",44,32,164,137,176,145,315,"2,521","1,564",455,810,"2,536","1,230",180,206
..50 to 54 years,"10,682",25,74,162,111,134,151,287,"2,959","1,673",513,855,"2,389","1,056",146,148
..55 to 59 years,"11,120",32,53,118,134,142,149,406,"3,343","1,837",552,753,"2,289","1,046",116,148
..60 to 64 years,"10,679",51,78,181,138,130,158,299,"3,260","1,797",549,764,"2,029",958,103,185
..65 to 69 years,"8,961",41,81,134,142,130,163,239,"2,726","1,439",435,577,"1,594","1,025",97,138
..70 to 74 years,"7,066",43,76,127,168,105,155,208,"2,329","1,221",267,352,"1,149",696,68,100
..75 years and over,"11,994",99,182,244,478,255,407,476,"4,845","1,923",413,461,"1,312",714,88,97
